iteration, total_itterations, numcores, numthreads, time, pi
1,10000000,3,3,27.856438,3.142275
2,10000000,3,3,27.116835,3.140813
3,10000000,3,3,31.751200,3.141373
4,10000000,3,3,31.199573,3.141321
5,10000000,3,3,29.247990,3.141776
6,10000000,3,3,28.017148,3.141449
7,10000000,3,3,31.153196,3.141267
8,10000000,3,3,32.190041,3.141632
9,10000000,3,3,32.322696,3.141985
10,10000000,3,3,27.849073,3.141340
11,10000000,3,3,28.089638,3.141329
12,10000000,3,3,26.724230,3.141018
13,10000000,3,3,26.303940,3.141573
14,10000000,3,3,25.535862,3.141250
15,10000000,3,3,29.372265,3.140918
16,10000000,3,3,27.888843,3.142083
17,10000000,3,3,36.588500,3.141784
18,10000000,3,3,30.688166,3.141909
19,10000000,3,3,36.141953,3.141445
20,10000000,3,3,32.104866,3.141832
