iteration, total_itterations, numcores, numthreads, time, pi
1,10000000,2,2,27.483653,3.141717
2,10000000,2,2,27.164706,3.141728
3,10000000,2,2,21.125948,3.142134
4,10000000,2,2,20.759779,3.141628
5,10000000,2,2,13.827316,3.141713
6,10000000,2,2,7.764003,3.141519
7,10000000,2,2,16.539112,3.141263
8,10000000,2,2,31.808713,3.141849
9,10000000,2,2,23.000984,3.141865
10,10000000,2,2,22.116497,3.142022
11,10000000,2,2,23.152464,3.142015
12,10000000,2,2,18.841217,3.141313
13,10000000,2,2,9.515688,3.141459
14,10000000,2,2,8.025264,3.141327
15,10000000,2,2,7.963810,3.141758
16,10000000,2,2,8.263422,3.142007
17,10000000,2,2,7.936171,3.141734
18,10000000,2,2,7.875460,3.141455
19,10000000,2,2,8.136480,3.142180
20,10000000,2,2,7.887512,3.142137
1,10000000,2,4,48.161546,3.141006
2,10000000,2,4,51.189344,3.141413
3,10000000,2,4,54.278456,3.141662
4,10000000,2,4,51.220995,3.141509
5,10000000,2,4,53.644038,3.141314
6,10000000,2,4,51.754875,3.141071
7,10000000,2,4,48.822828,3.140982
8,10000000,2,4,51.831927,3.141670
9,10000000,2,4,53.072858,3.141523
10,10000000,2,4,52.313888,3.141498
11,10000000,2,4,51.680858,3.141469
12,10000000,2,4,49.695569,3.141240
13,10000000,2,4,51.293278,3.142034
14,10000000,2,4,53.845481,3.141154
15,10000000,2,4,48.678098,3.141672
16,10000000,2,4,49.649750,3.141811
17,10000000,2,4,52.100824,3.141494
18,10000000,2,4,51.825101,3.141693
19,10000000,2,4,50.222477,3.141852
20,10000000,2,4,53.038218,3.141226
1,10000000,2,8,97.242049,3.141846
2,10000000,2,8,96.105328,3.141611
3,10000000,2,8,100.098762,3.141481
4,10000000,2,8,100.345069,3.141269
5,10000000,2,8,96.493408,3.141424
6,10000000,2,8,105.247220,3.141641
7,10000000,2,8,94.084774,3.141751
8,10000000,2,8,105.644070,3.141752
9,10000000,2,8,98.838795,3.141884
10,10000000,2,8,95.679664,3.141620
11,10000000,2,8,96.520755,3.141506
12,10000000,2,8,101.117372,3.141655
13,10000000,2,8,104.174686,3.141414
14,10000000,2,8,99.719402,3.141591
15,10000000,2,8,105.951523,3.141878
16,10000000,2,8,103.072995,3.141497
17,10000000,2,8,95.693914,3.141252
18,10000000,2,8,97.356515,3.141555
19,10000000,2,8,105.560276,3.141599
20,10000000,2,8,98.331979,3.141711
