make: `main' is up to date.
tasks, 1, 0.304895, 1000000
sections, 1, 0.618470, 1000000
sequential, 1, 0.591174, 1000000
tasks, 1, 0.299846, 1000000
sections, 1, 0.629719, 1000000
sequential, 1, 0.587142, 1000000
tasks, 1, 29.689689, 1000000
sections, 1, 0.639473, 1000000
sequential, 1, 0.594335, 1000000
tasks, 1, 0.284870, 1000000
sections, 1, 0.644688, 1000000
sequential, 1, 0.603198, 1000000
tasks, 1, 0.331806, 1000000
sections, 1, 0.646227, 1000000
sequential, 1, 0.598025, 1000000
tasks, 1, 0.385712, 1000000
sections, 1, 0.651873, 1000000
sequential, 1, 0.610601, 1000000
tasks, 1, 30.158863, 1000000
sections, 1, 0.654512, 1000000
sequential, 1, 0.624121, 1000000
tasks, 1, 0.323302, 1000000
sections, 1, 0.623434, 1000000
sequential, 1, 0.593802, 1000000
tasks, 1, 0.329715, 1000000
sections, 1, 0.646057, 1000000
sequential, 1, 0.608855, 1000000
tasks, 1, 0.330414, 1000000
sections, 1, 0.640965, 1000000
sequential, 1, 0.613909, 1000000
tasks, 1, 0.341490, 1000000
sections, 1, 0.649871, 1000000
sequential, 1, 0.616890, 1000000
tasks, 1, 0.350844, 1000000
sections, 1, 0.635667, 1000000
sequential, 1, 0.592672, 1000000
tasks, 1, 0.268902, 1000000
sections, 1, 0.633784, 1000000
sequential, 1, 0.596239, 1000000
tasks, 1, 0.342982, 1000000
sections, 1, 0.611585, 1000000
sequential, 1, 0.585585, 1000000
tasks, 1, 29.739989, 1000000
sections, 1, 0.642033, 1000000
sequential, 1, 0.587847, 1000000
tasks, 1, 0.274914, 1000000
sections, 1, 0.668945, 1000000
sequential, 1, 0.629195, 1000000
tasks, 1, 0.396996, 1000000
sections, 1, 0.646570, 1000000
sequential, 1, 0.614411, 1000000
tasks, 1, 29.790391, 1000000
sections, 1, 0.630589, 1000000
sequential, 1, 0.605942, 1000000
tasks, 1, 0.312889, 1000000
sections, 1, 0.625126, 1000000
sequential, 1, 0.618641, 1000000
tasks, 1, 0.276419, 1000000
sections, 1, 0.639470, 1000000
sequential, 1, 0.602676, 1000000
tasks, 1, 8.918010, 100000
sections, 1, 0.055588, 100000
sequential, 1, 0.051230, 100000
tasks, 1, 7.109339, 100000
sections, 1, 0.055378, 100000
sequential, 1, 0.051983, 100000
tasks, 1, 7.241977, 100000
sections, 1, 0.055243, 100000
sequential, 1, 0.051925, 100000
tasks, 1, 7.213644, 100000
sections, 1, 0.055350, 100000
sequential, 1, 0.051946, 100000
tasks, 1, 7.195541, 100000
sections, 1, 0.056265, 100000
sequential, 1, 0.052923, 100000
tasks, 1, 7.166780, 100000
sections, 1, 0.056464, 100000
sequential, 1, 0.052638, 100000
tasks, 1, 8.885739, 100000
sections, 1, 0.055604, 100000
sequential, 1, 0.052184, 100000
tasks, 1, 0.072058, 100000
sections, 1, 0.055471, 100000
sequential, 1, 0.051251, 100000
tasks, 1, 8.634465, 100000
sections, 1, 0.057026, 100000
sequential, 1, 0.053104, 100000
tasks, 1, 8.647684, 100000
sections, 1, 0.056614, 100000
sequential, 1, 0.053058, 100000
tasks, 1, 0.092504, 100000
sections, 1, 0.056700, 100000
sequential, 1, 0.052608, 100000
tasks, 1, 7.321683, 100000
sections, 1, 0.055577, 100000
sequential, 1, 0.052038, 100000
tasks, 1, 0.089816, 100000
sections, 1, 0.054534, 100000
sequential, 1, 0.051029, 100000
tasks, 1, 8.661868, 100000
sections, 1, 0.056730, 100000
sequential, 1, 0.053189, 100000
tasks, 1, 7.169175, 100000
sections, 1, 0.056854, 100000
sequential, 1, 0.052502, 100000
tasks, 1, 0.113441, 100000
sections, 1, 0.056025, 100000
sequential, 1, 0.052863, 100000
