mpicc -o build/mpi_qs qs/mpi_sort.c --std=c11
parallel mpi 8 cores
1000000, 8, 1 0.117114
1000000, 8, 1 0.116118
1000000, 8, 1 0.113642
1000000, 8, 1 0.113213
1000000, 8, 1 0.114937
1000000, 8, 1 0.116415
1000000, 8, 1 0.109800
1000000, 8, 1 0.116407
1000000, 8, 1 0.116263
1000000, 8, 1 0.115437
1000000, 8, 1 0.118517
1000000, 8, 1 0.123584
1000000, 8, 1 0.114803
1000000, 8, 1 0.117207
1000000, 8, 1 0.116220
1000000, 8, 1 0.116856
1000000, 8, 1 0.115606
1000000, 8, 1 0.116423
1000000, 8, 1 0.108310
1000000, 8, 1 0.115519
2000000, 8, 1 0.227595
2000000, 8, 1 0.229020
2000000, 8, 1 0.225064
2000000, 8, 1 0.227323
2000000, 8, 1 0.216610
2000000, 8, 1 0.210601
2000000, 8, 1 0.222183
2000000, 8, 1 0.228063
2000000, 8, 1 0.237082
2000000, 8, 1 0.226383
2000000, 8, 1 0.214486
2000000, 8, 1 0.225165
2000000, 8, 1 0.236798
2000000, 8, 1 0.227013
2000000, 8, 1 0.229039
2000000, 8, 1 0.235469
2000000, 8, 1 0.212806
2000000, 8, 1 0.212643
2000000, 8, 1 0.224555
2000000, 8, 1 0.213092
3000000, 8, 1 0.324420
3000000, 8, 1 0.346318
3000000, 8, 1 0.328179
3000000, 8, 1 0.341034
3000000, 8, 1 0.343440
3000000, 8, 1 0.340676
3000000, 8, 1 0.341628
3000000, 8, 1 0.348095
3000000, 8, 1 0.347417
3000000, 8, 1 0.348786
3000000, 8, 1 0.349045
3000000, 8, 1 0.341343
3000000, 8, 1 0.347469
3000000, 8, 1 0.347289
3000000, 8, 1 0.344898
3000000, 8, 1 0.347249
3000000, 8, 1 0.330095
3000000, 8, 1 0.348224
3000000, 8, 1 0.340358
3000000, 8, 1 0.345586
4000000, 8, 1 0.431031
4000000, 8, 1 0.459136
4000000, 8, 1 0.463256
4000000, 8, 1 0.466996
4000000, 8, 1 0.449688
4000000, 8, 1 0.453039
4000000, 8, 1 0.456206
4000000, 8, 1 0.458724
4000000, 8, 1 0.459992
4000000, 8, 1 0.434571
4000000, 8, 1 0.460996
4000000, 8, 1 0.459905
4000000, 8, 1 0.458550
4000000, 8, 1 0.456977
4000000, 8, 1 0.457816
4000000, 8, 1 0.460120
4000000, 8, 1 0.457914
4000000, 8, 1 0.457448
4000000, 8, 1 0.441460
4000000, 8, 1 0.436408
5000000, 8, 1 0.574124
5000000, 8, 1 0.577524
5000000, 8, 1 0.565855
5000000, 8, 1 0.568305
5000000, 8, 1 0.544430
5000000, 8, 1 0.567398
5000000, 8, 1 0.568043
5000000, 8, 1 0.568439
5000000, 8, 1 0.544266
5000000, 8, 1 0.574952
5000000, 8, 1 0.543491
5000000, 8, 1 0.572758
5000000, 8, 1 0.573394
5000000, 8, 1 0.554990
5000000, 8, 1 0.546879
5000000, 8, 1 0.575068
5000000, 8, 1 0.574507
5000000, 8, 1 0.571801
5000000, 8, 1 0.551879
5000000, 8, 1 0.545208
6000000, 8, 1 0.680406
6000000, 8, 1 0.663099
6000000, 8, 1 0.691085
6000000, 8, 1 0.681831
6000000, 8, 1 0.716104
6000000, 8, 1 0.693193
6000000, 8, 1 0.662956
